Match Number,Round Number,Date,Location,Home Team,Away Team,Result
889,17,05/03/2025 03:00,PHX Arena,Phoenix Suns,LA Clippers,119 - 117
890,17,05/03/2025 03:30,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,136 - 115
891,18,06/03/2025 00:00,TD Garden,Boston Celtics,Portland Trail Blazers,128 - 118
892,18,06/03/2025 00:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,110 - 125
893,18,06/03/2025 00:00,Rocket Arena,Cleveland Cavaliers,Miami Heat,112 - 107
894,18,06/03/2025 00:00,Capital One Arena,Washington Wizards,Utah Jazz,125 - 122
897,18,06/03/2025 01:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,137 - 107
896,18,06/03/2025 02:00,Ball Arena,Denver Nuggets,Sacramento Kings,116 - 110
895,18,06/03/2025 02:30,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,103 - 120
898,18,06/03/2025 03:30,Intuit Dome,LA Clippers,Detroit Pistons,123 - 115
944,18,07/03/2025 00:00,Kia Center,Orlando Magic,Chicago Bulls,123 - 125
899,18,07/03/2025 00:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,124 - 118
900,18,07/03/2025 00:30,TD Garden,Boston Celtics,Philadelphia 76ers,123 - 105
901,18,07/03/2025 00:30,Barclays Center,Brooklyn Nets,Golden State Warriors,119 - 121
902,18,07/03/2025 01:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,97 - 109
903,18,07/03/2025 03:00,Crypto.com Arena,Los Angeles Lakers,New York Knicks,113 - 109
904,18,08/03/2025 00:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,117 - 118
905,18,08/03/2025 00:30,Scotiabank Arena,Toronto Raptors,Utah Jazz,118 - 109
906,18,08/03/2025 00:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,111 - 122
907,18,08/03/2025 01:00,Kaseya Center,Miami Heat,Minnesota Timberwolves,104 - 106
908,18,08/03/2025 01:00,Paycom Center,Oklahoma City Thunder,Portland Trail Blazers,107 - 89
909,18,08/03/2025 03:00,Ball Arena,Denver Nuggets,Phoenix Suns,149 - 141
910,18,08/03/2025 03:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,127 - 109
911,18,08/03/2025 03:30,Intuit Dome,LA Clippers,New York Knicks,105 - 95
912,18,08/03/2025 23:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,105 - 102
913,18,09/03/2025 00:00,Toyota Center,Houston Rockets,New Orleans Pelicans,146 - 117
914,18,09/03/2025 00:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,120 - 118
915,18,09/03/2025 00:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,117 - 118
916,18,09/03/2025 01:00,Kaseya Center,Miami Heat,Chicago Bulls,109 - 114
917,18,09/03/2025 01:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,109 - 111
918,18,09/03/2025 01:30,TD Garden,Boston Celtics,Los Angeles Lakers,111 - 101
919,18,09/03/2025 01:30,Chase Center,Golden State Warriors,Detroit Pistons,115 - 110
920,18,09/03/2025 17:00,Paycom Center,Oklahoma City Thunder,Denver Nuggets,127 - 103
921,18,09/03/2025 19:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,116 - 125
923,18,09/03/2025 23:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,104 - 107
924,18,09/03/2025 23:30,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,126 - 122
922,18,10/03/2025 00:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,100 - 112
925,18,10/03/2025 00:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,141 - 124
926,18,10/03/2025 01:00,Moda Center,Portland Trail Blazers,Detroit Pistons,112 - 119
927,18,10/03/2025 01:30,Intuit Dome,LA Clippers,Sacramento Kings,111 - 110
928,18,10/03/2025 23:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,132 - 123
929,18,10/03/2025 23:30,TD Garden,Boston Celtics,Utah Jazz,114 - 108
930,18,10/03/2025 23:30,Barclays Center,Brooklyn Nets,Los Angeles Lakers,111 - 108
931,18,10/03/2025 23:30,Kaseya Center,Miami Heat,Charlotte Hornets,102 - 105
932,18,10/03/2025 23:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,119 - 104
933,18,11/03/2025 00:00,United Center,Chicago Bulls,Indiana Pacers,121 - 103
934,18,11/03/2025 00:00,Toyota Center,Houston Rockets,Orlando Magic,97 - 84
935,18,11/03/2025 00:00,FedExForum,Memphis Grizzlies,Phoenix Suns,120 - 118
936,18,11/03/2025 00:00,Paycom Center,Oklahoma City Thunder,Denver Nuggets,127 - 140
937,18,11/03/2025 00:30,Frost Bank Center,San Antonio Spurs,Dallas Mavericks,129 - 133
938,18,11/03/2025 02:00,Chase Center,Golden State Warriors,Portland Trail Blazers,130 - 120
939,18,11/03/2025 02:30,Golden 1 Center,Sacramento Kings,New York Knicks,104 - 133
940,18,11/03/2025 23:00,Rocket Arena,Cleveland Cavaliers,Brooklyn Nets,109 - 104
941,18,11/03/2025 23:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,123 - 103
942,18,11/03/2025 23:30,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,115 - 114
943,18,12/03/2025 00:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,127 - 120
945,19,12/03/2025 23:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,123 - 110
946,19,12/03/2025 23:30,TD Garden,Boston Celtics,Oklahoma City Thunder,112 - 118
947,19,12/03/2025 23:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,118 - 105
948,19,13/03/2025 00:00,Kaseya Center,Miami Heat,LA Clippers,104 - 119
949,19,13/03/2025 00:00,Toyota Center,Houston Rockets,Phoenix Suns,111 - 104
950,19,13/03/2025 00:00,FedExForum,Memphis Grizzlies,Utah Jazz,122 - 115
951,19,13/03/2025 00:00,Frost Bank Center,San Antonio Spurs,Dallas Mavericks,126 - 116
952,19,13/03/2025 02:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,95 - 115
953,19,13/03/2025 02:00,Moda Center,Portland Trail Blazers,New York Knicks,113 - 114
954,19,13/03/2025 23:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,125 - 129
955,19,13/03/2025 23:30,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,126 - 106
956,19,14/03/2025 00:00,United Center,Chicago Bulls,Brooklyn Nets,116 - 110
1141,19,14/03/2025 00:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,93 - 113
957,19,14/03/2025 02:00,Chase Center,Golden State Warriors,Sacramento Kings,130 - 104
958,19,14/03/2025 23:00,Kaseya Center,Miami Heat,Boston Celtics,91 - 103
959,19,14/03/2025 23:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,100 - 112
960,19,14/03/2025 23:30,State Farm Arena,Atlanta Hawks,LA Clippers,98 - 121
961,19,15/03/2025 00:00,Toyota Center,Houston Rockets,Dallas Mavericks,133 - 96
962,19,15/03/2025 00:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,124 - 133
963,19,15/03/2025 00:00,Target Center,Minnesota Timberwolves,Orlando Magic,118 - 111
964,19,15/03/2025 00:00,Frost Bank Center,San Antonio Spurs,Charlotte Hornets,134 - 145
965,19,15/03/2025 01:30,Ball Arena,Denver Nuggets,Los Angeles Lakers,131 - 126
966,19,15/03/2025 01:30,Delta Center,Utah Jazz,Toronto Raptors,118 - 126
967,19,15/03/2025 02:00,PHX Arena,Phoenix Suns,Sacramento Kings,122 - 106
968,19,15/03/2025 22:00,Barclays Center,Brooklyn Nets,Boston Celtics,113 - 115
969,19,15/03/2025 23:00,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,107 - 113
970,19,16/03/2025 00:00,Toyota Center,Houston Rockets,Chicago Bulls,117 - 114
971,19,16/03/2025 00:00,FedExForum,Memphis Grizzlies,Miami Heat,125 - 91
