Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1109,22,03/04/2025 00:30,American Airlines Center,Dallas Mavericks,Atlanta Hawks,120 - 118
1110,22,03/04/2025 01:00,Ball Arena,Denver Nuggets,San Antonio Spurs,106 - 113
1108,22,03/04/2025 01:30,Paycom Center,Oklahoma City Thunder,Detroit Pistons,119 - 103
1111,22,03/04/2025 02:30,Intuit Dome,LA Clippers,New Orleans Pelicans,114 - 98
1112,22,03/04/2025 23:00,Capital One Arena,Washington Wizards,Orlando Magic,97 - 109
1115,22,03/04/2025 23:00,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,113 - 126
1113,22,03/04/2025 23:30,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,90 - 105
1114,22,03/04/2025 23:30,Kaseya Center,Miami Heat,Memphis Grizzlies,108 - 110
1116,22,03/04/2025 23:30,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,103 - 112
1117,22,04/04/2025 02:00,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,116 - 123
1118,22,04/04/2025 23:00,Spectrum Center,Charlotte Hornets,Sacramento Kings,102 - 125
1119,22,04/04/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Utah Jazz,140 - 112
1120,22,04/04/2025 23:30,TD Garden,Boston Celtics,Phoenix Suns,123 - 103
1121,22,04/04/2025 23:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,105 - 117
1122,22,05/04/2025 00:00,United Center,Chicago Bulls,Portland Trail Blazers,118 - 113
1123,22,05/04/2025 00:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,125 - 111
1124,22,05/04/2025 00:00,Frost Bank Center,San Antonio Spurs,Cleveland Cavaliers,113 - 114
1125,22,05/04/2025 02:00,Chase Center,Golden State Warriors,Denver Nuggets,118 - 104
1126,22,05/04/2025 02:30,Crypto.com Arena,Los Angeles Lakers,New Orleans Pelicans,124 - 108
1127,22,05/04/2025 02:30,Intuit Dome,LA Clippers,Dallas Mavericks,114 - 91
1128,22,05/04/2025 19:00,State Farm Arena,Atlanta Hawks,New York Knicks,105 - 121
1129,22,05/04/2025 23:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,103 - 109
1130,22,05/04/2025 23:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,109 - 114
1131,22,06/04/2025 00:00,Kaseya Center,Miami Heat,Milwaukee Bucks,115 - 121
1132,22,06/04/2025 02:30,Intuit Dome,LA Clippers,Dallas Mavericks,135 - 104
1133,22,06/04/2025 17:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,117 - 131
1134,22,06/04/2025 19:30,Barclays Center,Brooklyn Nets,Toronto Raptors,109 - 120
1135,22,06/04/2025 19:30,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,99 - 126
1136,22,06/04/2025 22:00,State Farm Arena,Atlanta Hawks,Utah Jazz,147 - 134
1137,22,06/04/2025 22:00,TD Garden,Boston Celtics,Washington Wizards,124 - 90
1138,22,06/04/2025 22:00,Rocket Arena,Cleveland Cavaliers,Sacramento Kings,113 - 120
1139,22,06/04/2025 22:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,120 - 109
1140,22,06/04/2025 23:00,Madison Square Garden,New York Knicks,Phoenix Suns,112 - 98
1142,22,07/04/2025 00:00,Ball Arena,Denver Nuggets,Indiana Pacers,120 - 125
617,22,07/04/2025 00:30,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,107 - 111
1143,22,07/04/2025 00:30,Chase Center,Golden State Warriors,Houston Rockets,96 - 106
1144,22,07/04/2025 23:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,117 - 127
1145,22,07/04/2025 23:30,Kaseya Center,Miami Heat,Philadelphia 76ers,117 - 105
1146,22,08/04/2025 23:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,100 - 124
1147,22,08/04/2025 23:00,Rocket Arena,Cleveland Cavaliers,Chicago Bulls,135 - 113
1148,22,08/04/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,104 - 98
1149,22,08/04/2025 23:00,Kia Center,Orlando Magic,Atlanta Hawks,119 - 112
1150,22,08/04/2025 23:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,119 - 114
1151,22,08/04/2025 23:30,Madison Square Garden,New York Knicks,Boston Celtics,117 - 119
1152,22,09/04/2025 00:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,110 - 103
1153,22,09/04/2025 00:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,136 - 120
1154,22,09/04/2025 02:00,PHX Arena,Phoenix Suns,Golden State Warriors,95 - 133
1155,22,09/04/2025 02:30,Intuit Dome,LA Clippers,San Antonio Spurs,122 - 117
1156,23,09/04/2025 23:00,Kia Center,Orlando Magic,Boston Celtics,96 - 76
1157,23,09/04/2025 23:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,103 - 122
1158,23,09/04/2025 23:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,126 - 96
1159,23,09/04/2025 23:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,97 - 112
1160,23,10/04/2025 00:00,United Center,Chicago Bulls,Miami Heat,119 - 111
1162,23,10/04/2025 01:00,Delta Center,Utah Jazz,Portland Trail Blazers,133 - 126
1163,23,10/04/2025 02:00,Chase Center,Golden State Warriors,San Antonio Spurs,111 - 114
1164,23,10/04/2025 02:00,PHX Arena,Phoenix Suns,Oklahoma City Thunder,112 - 125
1165,23,10/04/2025 02:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,116 - 124
1166,23,10/04/2025 02:30,Intuit Dome,LA Clippers,Houston Rockets,134 - 117
1167,23,10/04/2025 23:00,Little Caesars Arena,Detroit Pistons,New York Knicks,115 - 106
1168,23,10/04/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,114 - 112
1169,23,10/04/2025 23:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,109 - 133
1161,23,11/04/2025 00:00,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,136 - 111
1170,23,11/04/2025 01:30,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,125 - 141
1171,23,11/04/2025 23:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,119 - 125
1172,23,11/04/2025 23:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,115 - 129
1173,23,11/04/2025 23:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,110 - 124
1174,23,11/04/2025 23:30,TD Garden,Boston Celtics,Charlotte Hornets,130 - 94
1175,23,11/04/2025 23:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,102 - 108
1176,23,12/04/2025 00:00,United Center,Chicago Bulls,Washington Wizards,119 - 89
1177,23,12/04/2025 00:00,Smoothie King Center,New Orleans Pelicans,Miami Heat,104 - 153
1178,23,12/04/2025 00:30,American Airlines Center,Dallas Mavericks,Toronto Raptors,124 - 102
1179,23,12/04/2025 01:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,117 - 91
1180,23,12/04/2025 01:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,117 - 109
1181,23,12/04/2025 01:30,Delta Center,Utah Jazz,Oklahoma City Thunder,111 - 145
1182,23,12/04/2025 02:00,PHX Arena,Phoenix Suns,San Antonio Spurs,117 - 98
1183,23,12/04/2025 02:00,Moda Center,Portland Trail Blazers,Golden State Warriors,86 - 103
1184,23,12/04/2025 02:00,Golden 1 Center,Sacramento Kings,LA Clippers,100 - 101
1185,23,12/04/2025 02:30,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,140 - 109
1186,23,13/04/2025 17:00,State Farm Arena,Atlanta Hawks,Orlando Magic,117 - 105
1187,23,13/04/2025 17:00,TD Garden,Boston Celtics,Charlotte Hornets,93 - 86
1188,23,13/04/2025 17:00,Barclays Center,Brooklyn Nets,New York Knicks,105 - 113
1189,23,13/04/2025 17:00,Rocket Arena,Cleveland Cavaliers,Indiana Pacers,118 - 126
1190,23,13/04/2025 17:00,Kaseya Center,Miami Heat,Washington Wizards,118 - 119
1191,23,13/04/2025 17:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,102 - 122
1192,23,13/04/2025 17:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,140 - 133
1193,23,13/04/2025 19:30,Toyota Center,Houston Rockets,Denver Nuggets,111 - 126
1194,23,13/04/2025 19:30,FedExForum,Memphis Grizzlies,Dallas Mavericks,132 - 97
1195,23,13/04/2025 19:30,Target Center,Minnesota Timberwolves,Utah Jazz,116 - 105
1196,23,13/04/2025 19:30,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,100 - 115
1197,23,13/04/2025 19:30,Frost Bank Center,San Antonio Spurs,Toronto Raptors,125 - 118
1198,23,13/04/2025 19:30,Chase Center,Golden State Warriors,LA Clippers,119 - 124
1199,23,13/04/2025 19:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,109 - 81
1200,23,13/04/2025 19:30,Golden 1 Center,Sacramento Kings,Phoenix Suns,109 - 98
