NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Jalen Williams,Okc,Yes,G,23.9,58,32.8,27.2,11.4,236,0.784,696,0.527,294,0.364,0.533,0.567,21.4,5.5,5.2,1.7,0.7,2.2,26.8,26.6,32,10.4,114.6,103.8
Jalen Green,Hou,Yes,G,23.1,62,33.2,27.3,12.8,248,0.827,589,0.489,510,0.357,0.51,0.549,21.4,4.4,3.1,0.8,0.3,2.6,25.8,24.5,28.9,8,109.1,110.3
Jamal Murray,Den,Yes,G,28,54,36,24.1,11.7,186,0.871,587,0.516,321,0.402,0.547,0.583,21.4,3.8,6,1.4,0.5,2.2,25.2,27.4,31.2,8.7,117.8,114.1
Darius Garland,Cle,Yes,G,25.1,57,30.3,27.6,13.3,198,0.869,497,0.531,399,0.421,0.576,0.612,21.1,2.5,6.7,1.1,0.2,2.4,23.7,27.8,30.4,9.3,123,110.3
Kai Jones,Dal,Yes,C,24.1,1,33.7,16.2,8.8,4,0.75,10,0.9,0,0,0.9,0.893,21,8,0,0,1,1,29,21,29,0,160.6,112.5
Brandon Miller,Cha,Yes,F,22.3,27,34.2,27.5,13.4,79,0.861,198,0.475,293,0.355,0.509,0.54,21,4.9,3.6,1.1,0.7,2.8,25.9,24.7,29.5,8.4,104.3,110.9
Jordan Poole,Was,Yes,G,25.7,51,31.3,28.9,16.7,226,0.876,354,0.486,478,0.37,0.526,0.576,21,3.3,4.8,1.4,0.5,3.3,24.3,25.8,29.1,8.9,107,112.9
Ja Morant,Mem,Yes,G,25.6,37,29.4,31.3,19.1,230,0.835,419,0.499,188,0.287,0.478,0.545,20.9,4.1,7.4,1.2,0.3,3.9,24.9,28.3,32.4,11.7,109.2,110
Pascal Siakam,Ind,Yes,F,30.9,60,32.9,24.1,7.9,245,0.743,654,0.567,256,0.402,0.577,0.606,20.6,7.2,3.3,0.9,0.5,1.3,27.8,23.8,31,9.6,122,110.4
Miles Bridges,Cha,Yes,F,27,46,32.1,27.4,11.4,174,0.874,462,0.506,318,0.324,0.498,0.542,20.2,7.8,3.7,0.8,0.7,2.2,28,23.9,31.7,10.4,109.6,112.1
Scottie Barnes,Tor,Yes,F,23.6,48,34.5,26.4,14.9,217,0.779,570,0.523,228,0.268,0.488,0.531,19.8,7.8,6.1,1.5,1.1,2.9,27.5,25.9,33.7,11.4,107.6,112.3
Domantas Sabonis,Sac,Yes,F,28.8,56,35.2,21.4,18.8,237,0.747,589,0.633,132,0.432,0.636,0.663,19.5,14.1,6.2,0.6,0.4,3,33.7,25.7,39.8,13.6,128.2,104.5
Lauri Markkanen,Uta,Yes,F,27.8,43,32.1,23.8,8.4,179,0.872,281,0.527,363,0.347,0.523,0.574,19.3,6.1,1.6,0.8,0.4,1.4,25.4,20.9,27,7.1,116.7,117.3
De'Aaron Fox,San,Yes,G,27.2,13,34,26,13,57,0.807,141,0.525,72,0.264,0.481,0.527,19.3,4.2,6.6,1.8,0.4,2.5,23.5,25.9,30.1,9.6,108.5,110.9
Alperen Sengun,Hou,Yes,C,22.6,58,31.2,26.7,14.2,325,0.692,808,0.517,79,0.228,0.502,0.541,19.2,10.5,4.8,1.1,0.8,2.5,29.8,24.1,34.6,12.7,114.3,101.7
Austin Reaves,Lal,Yes,G,26.8,53,34.3,23.4,15.1,264,0.867,350,0.537,373,0.362,0.54,0.602,19.1,4.2,6,1.1,0.3,2.4,23.3,25,29.3,9.1,119.5,111.5
Nikola Vucevic,Chi,Yes,C,34.4,56,32.1,22.5,10.5,120,0.817,564,0.599,256,0.387,0.593,0.614,19.1,10.3,3.4,0.9,0.7,1.7,29.4,22.5,32.8,10.9,120.5,110.6
De'Andre Hunter,Atl,No,F,27.3,37,28.7,24.1,10.7,176,0.858,245,0.531,247,0.393,0.56,0.616,19,3.9,1.5,0.8,0.1,1.6,22.9,20.5,24.4,6.7,116.7,112
Anfernee Simons,Por,Yes,G,25.7,58,32.5,24.6,12,163,0.902,433,0.485,479,0.372,0.523,0.56,19,2.8,4.9,0.8,0.1,2.1,21.7,23.9,26.7,7.9,114,116.6
