NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Bobby Portis,Mil,Yes,F,30.1,47,24.7,24.1,9.1,67,0.821,392,0.505,165,0.364,0.517,0.538,13.4,8.1,2.2,0.7,0.5,1.2,21.6,15.6,23.7,10,110,104.6
Rui Hachimura,Lal,Yes,F,27.1,50,32.1,16.1,8.1,98,0.765,295,0.573,205,0.41,0.59,0.612,13.3,5.2,1.5,0.8,0.5,0.9,18.5,14.8,20,5.9,122,111.6
Zach Collins,Chi,Yes,F,27.3,8,26,18.5,12.1,23,0.87,47,0.723,25,0.24,0.597,0.645,13.3,8.5,2.6,1.1,0.5,1.3,21.8,15.9,24.4,10.2,132.5,109.3
Georges Niang,Atl,Yes,F,31.7,9,27.3,18.4,4.7,11,0.818,33,0.455,68,0.397,0.55,0.567,13.3,4.6,1.9,0.6,0.4,0.6,17.9,15.2,19.8,7.2,116.6,109.2
Stephon Castle,San,Yes,G,20.3,59,25.4,24.9,14.7,209,0.718,435,0.497,234,0.282,0.471,0.513,13.2,3.1,3.5,0.9,0.2,1.9,16.3,16.7,19.8,8.2,103,113.3
Josh Giddey,Chi,Yes,G,22.4,57,29.4,20.7,20.3,147,0.776,386,0.503,225,0.373,0.524,0.558,13.2,7.5,6.6,1.1,0.6,2.7,20.7,19.8,27.3,11.8,112.6,113.3
Max Christie,Dal,Yes,G,22.1,12,32.3,16.7,12.8,26,0.846,67,0.478,55,0.418,0.545,0.581,12.9,4.3,3.5,1,0.4,1.5,17.2,16.4,20.7,7.2,115.6,113.8
Moritz Wagner,Orl,Yes,F,27.9,30,18.8,26.7,16.4,110,0.718,174,0.649,75,0.36,0.616,0.649,12.9,4.9,1.4,0.8,0.4,1.6,17.8,14.3,19.2,9.5,117.2,101.4
Aaron Gordon,Den,Yes,F,29.5,36,27,18.2,12.1,108,0.796,221,0.557,106,0.415,0.578,0.619,12.9,4.9,3.1,0.5,0.3,1.3,17.8,16,20.9,8.6,126,113.9
Santi Aldama,Mem,Yes,F,24.1,52,25.1,18.9,8.9,70,0.7,279,0.588,255,0.376,0.577,0.589,12.8,6.7,2.8,0.8,0.6,1,19.5,15.6,22.3,9.9,123.3,111
Malcolm Brogdon,Was,Yes,G,32.2,24,23.5,23.6,13.7,92,0.88,184,0.478,56,0.286,0.467,0.544,12.7,3.8,4.1,0.5,0.2,1.6,16.5,16.8,20.6,9.9,112.8,118.5
Brook Lopez,Mil,Yes,C,36.9,59,31.9,15.8,8.9,99,0.838,283,0.601,299,0.361,0.57,0.597,12.7,5.1,1.8,0.7,1.9,1,17.7,14.5,19.5,6.1,118.9,109.9
Russell Westbrook,Den,Yes,G,36.3,54,27.5,22.7,22.8,164,0.634,367,0.534,194,0.325,0.518,0.541,12.7,4.9,6.2,1.4,0.5,3.1,17.6,18.9,23.8,10.6,106.3,108.1
Khris Middleton,Mil,No,F,33.6,23,23.2,21.8,14.9,46,0.848,125,0.584,86,0.407,0.595,0.627,12.6,3.7,4.4,0.7,0.2,1.6,16.3,17,20.7,10.2,121,105.1
Scoot Henderson,Por,Yes,G,21.1,54,26.5,21.9,20.7,165,0.776,305,0.479,232,0.366,0.509,0.554,12.5,3,5.3,1.2,0.2,2.6,15.5,17.8,20.8,8.8,109.1,109.6
Onyeka Okongwu,Atl,Yes,F,24.2,55,26.2,17.2,11.1,155,0.723,390,0.638,89,0.281,0.598,0.626,12.5,8.2,2.2,0.8,0.9,1.1,20.7,14.7,22.9,9.3,127.6,108.2
